383,Standard CCM Super Users,,Admin,CUCM-Production-Admin,
812,,,Administrateur,Administrateur SentinelOne,
1283,,,Auditeur,Auditeur,
54,,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Encadrement,MyPlace_S15-Encadrement,
57,,,GS_A_CA-PACIFICA_PACIFICA_PRD-SPO-S15-Visiteurs,MyPlace_S15-Visiteurs,
847,Accès aux Datamarts OSACCA,,G_INF_CLIOSA,Datamarts OSACCA (OSADTM),
1235,Accès au traitement du simulateur Diag MP,,G_INF_DPRDMP,Simulateur Diagnostic MP (SAS Guide DPART),
101,DIAPASON Recette - Périmétre Groupe Pacifica - Consultation flux Pacifica,,Groupe Pacifica - Consultation flux Pacifica,P_DIAPASON Recette - Périmétre Groupe Pacifica - Consultation flux Pacifica,
100,DIAPASON Recette - Périmétre Groupe Pacifica - Import virements manuels Pacifica,,Groupe Pacifica - Import virements manuels Pacifica,P_DIAPASON Recette - Périmétre Groupe Pacifica - Import virements manuels Pacifica,
119,Périmétre Groupe Pacifica - Signataire flux Pacifica,,Groupe Pacifica - Signataire flux Pacifica,P_DIAPASON Production - Périmétre Groupe Pacifica - Signataire flux Pacifica,
1277,Maétrise d'ouvrageéViavita,,MOA,MOA,
98,DIAPASON Recette - Périmétre Pacifica - contréleur CS,,PACIFICA - Contréleurs CS,P_DIAPASON Recette - Périmétre Pacifica - contréleur CS,
97,Périmétres PACIFICA-Contréleurs CS Prélévements,,PACIFICA - Contréleurs CS Prélévements,P_DIAPASON Recette - Périmétres PACIFICA-Contréleurs CS Prélévements,
96,DIAPASON Recette - Périmétre PACIFICA - Saisisseur CS,,PACIFICA - Saisisseurs CS,P_DIAPASON Recette - Périmétre PACIFICA - Saisisseur CS,
92,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,PACIFICA - Saisisseurs DFI,P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs DFI,
91,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,PACIFICA - Saisisseurs DSIN,P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs DSIN,
90,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,PACIFICA - Saisisseurs UGO,P_DIAPASON Recette - Périmétre PACIFICA - Saisisseurs UGO,
113,Périmétre PACIFICA - Signataires Directeur Général,,PACIFICA - Signataires Directeur Général,P_DIAPASON Production - Périmétre PACIFICA - Signataires Directeur Général,
112,Périmétre PACIFICA - Signataires Directeurs,,PACIFICA - Signataires Directeurs,P_DIAPASON Production - Périmétre PACIFICA - Signataires Directeurs,
87,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,PACIFICA - Signataires Directeurs Adjoints,P_DIAPASON Recette - Périmétre PACIFICA - Signataires Directeurs Adjoints,
110,P_Périmétre PACIFICA - Signataires Responsables,,PACIFICA - Signataires Responsables,P_DIAPASON Production - Périmétre PACIFICA - Signataires Responsables,
109,Périmétre PACIFICA - Signataires Validation Centrale,,PACIFICA - Signataires Validation Centrale,P_DIAPASON Production - Périmétre PACIFICA - Signataires Validation Centrale,
838,Profil permettant la gestion des droits utilisateurs,,PACIFICA_interne,P_ARTEFIS_Administrateur,
63,,,PCKR12_ASSISTANT_ COMPTABILITé_ SOCIALE,P_Oracle R12_Comptabilité Pacifica-Recette-Assistant Comptabilité Sociale,
666,Ce profil donne le réle UMX PCKR12_DFI_Assistante contenant les responsabilités suivantes:,,PCKR12_DFI_ASSISTANTE,P_Oracle R12_Comptabilité Pacifica-Production-DFI Assistante,
667,Ce profil donne le réle UMX PCKR12_DFI_Contréle de gestion contenant les responsabilités suivantes:,,PCKR12_DFI_CONTRéLE DE GESTION,P_Oracle R12_Comptabilité Pacifica-Production-DFI Contréle de gestion,
66,,,PCKR12_DFI_MOA,P_Oracle R12_Comptabilité Pacifica-Recette-DFI MOA,
67,,,PCKR12_DFI_PARTENARIAT,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Partenariat,
69,,,PCKR12_DFI_REPORT PLACEMENT,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Report Placement,
674,Ce profil donne le réle PCKR12_DFI_Responsable CGGP (griffoin) contenant les responsabilités suivan,,PCKR12_DFI_RESPONSABLE CGGP,P_Oracle R12_Comptabilité Pacifica-Production-DFI Responsable CGGP (griffoin),
71,,,PCKR12_DFI_RESPONSABLE RPR,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Responsable RPR,
68,,,PCKR12_DFI_RéASSURANCE,P_Oracle R12_Comptabilité Pacifica-Recette-DFI Réassurance,
677,Ce profil donne le réle UMX PCKR12_DFI_Résultats Tec Com contenant les responsabilités suivantes:,,PCKR12_DFI_RéSULTATS TEC COM,P_Oracle R12_Comptabilité Pacifica-Production-DFI Résultats Tec Com,
704,Ce profil donne le réle UMX PCKR12_Pacifica_Assistant_DIRECTION_SINISTRE contenant les responsabili,,PCKR12_PACIFICA_ASSISTANT_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Pacifica-Production-Assistant DIRECTION SINISTRE,
73,,,PCKR12_PACIFICA_RESPONSABLE_DIRECTION_FINANCIERE,P_Oracle R12_Comptabilité Pacifica-Recette-Responsable DIRECTION FINANCIERE,
631,Unité de rattachement : PACIFICA,,PCKR12_PACIFICA_RESPONSABLE_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Pacifica-Production-Responsable DIRECTION SINISTRES,
679,Ce profil donne le réle UMX PCKR12_Responsable_comptabilité_sociale contenant les responsabilités s,,PCKR12_RESPONSABLE_COMPTABILITé_SOCIALE,P_Oracle R12_Comptabilité Pacifica-Production-Responsable Comptabilité Sociale,
64,,,PCK_CAAS_CSP_FACTURATION,P_Oracle R12_Comptabilité Pacifica-Recette-CSP-FACTURATION,
501,Nouvelle UGS,,SIR-Production-UGS DIJON-S14,P_Oracle R12_Comptabilité Sirca-Production-Assistant UGS DIJON-S14,
577,Ce profil donne le réle UMX SIRR12_Sirca_Responsable_DIRECTION_SINISTRE contenant les responsabilit,,SIRR12_SIRCA_RESPONSABLE_DIRECTION_SINISTRE,P_Oracle R12_Comptabilité Sirca-Production-Responsable DIRECTION SINISTRE,
815,"Posséde le droit de consultation des données ce qui regroupe les trois profils de besoins au méme niveau déhabilitation : Communication APLC, Animateur consommation digitale, Reporting Pacifica et Groupe",,Utilisateur,Utilisateur Mon empreinte digital,
93,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Consultation flux Pacifica,P_DIAPASON Production - Périmétre VIAREN - Consultation flux Pacifica,
108,Périmétre VIAREN - Contréleurs,,VIAREN - Contréleurs,P_DIAPASON Production - Périmétre VIAREN - Contréleurs,
107,Périmétre VIAREN - Saisisseurs,,VIAREN - Saisisseurs,P_DIAPASON Production - Périmétre VIAREN - Saisisseurs,
94,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Signataire flux Pacifica,P_DIAPASON Production - Périmétre VIAREN - Signataire flux Pacifica,
81,DIAPASON Recette - Périmétre Pacifica - Signataire Validation Centrale,,VIAREN - Signataires Directeur Général,P_DIAPASON Recette - Périmétre VIAREN - Signataire Directeur Général,
104,Périmétre VIAREN - Signataires Directeurs,,VIAREN - Signataires Directeurs,P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs,
105,Périmétre VIAREN - Signataires Directeurs Adjoints,,VIAREN - Signataires Directeurs Adjoints,P_DIAPASON Production - Périmétre VIAREN - Signataires Directeurs Adjoints,
103,Périmétre VIAREN - Signataires Responsables,,VIAREN - Signataires Responsables,P_DIAPASON Production - Périmétre VIAREN - Signataires Responsables,
102,Périmétre VIAREN - Signataires Validation Centrale,,VIAREN - Signataires Validation Centrale,P_DIAPASON Production - Périmétre VIAREN - Signataires Validation Centrale,
